,center_id,name,address,state_name,district_name,block_name,pincode,lat,long,from,to,fee_type,sessions,timestamp
2,560457,RED CROSS SADAR DHANBAD 2.0,Dhanbad Sadar,Jharkhand,Dhanbad,Dhanbad Sadar,826001,23,86,09:00:00,18:00:00,Free,"[{'session_id': 'da06f581-a58a-4909-8724-5a14da181088', 'date': '09-05-2021', 'available_capacity': 29, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-08 19:12:11.577229
3,615023,Sadar2.2 P.L.,DHANBAD,Jharkhand,Dhanbad,Dhanbad Sadar,826001,23,86,09:00:00,18:00:00,Free,"[{'session_id': 'adc74c08-245b-4b6b-b360-25e8003d4112', 'date': '09-05-2021', 'available_capacity': 42, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-08 19:12:11.577229
4,612227,Chc Tundi 2.0,Tundi,Jharkhand,Dhanbad,Dhanbad Sadar,826001,23,86,09:00:00,18:00:00,Free,"[{'session_id': '372d5f9f-e30d-4069-b38a-88fba56520f4', 'date': '09-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-08 19:12:11.577229
5,571451,SNMMCH,Saraidhela Dhanbad,Jharkhand,Dhanbad,Dhanbad Sadar,826001,23,86,09:00:00,18:00:00,Free,"[{'session_id': 'e607adf0-170d-4b92-99c9-c38504e406a8', 'date': '09-05-2021', 'available_capacity': 47, 'min_age_limit': 45, 'vaccine': 'COVAXIN', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-08 19:12:11.577229
6,658867,MATKURIA DHANBAD,DHANBAD,Jharkhand,Dhanbad,Dhanbad Sadar,826001,23,86,09:00:00,18:00:00,Free,"[{'session_id': '5d624a9c-c625-4f90-acdb-070bf3295bd6', 'date': '09-05-2021', 'available_capacity': 39, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-08 19:12:11.577229
0,613482,CHC GOVINDPUR2.0,DHANBAD,Jharkhand,Dhanbad,Govindpur,826001,23,86,09:00:00,18:00:00,Free,"[{'session_id': '8aff3772-b23b-4966-895f-81ea6a3ee629', 'date': '09-05-2021', 'available_capacity': 48, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-08 19:14:13.332083
1,613787,BRC Nirsha2.1,Dhanbad,Jharkhand,Dhanbad,Nirsha,826001,23,86,09:00:00,18:00:00,Free,"[{'session_id': '89a521a6-b617-4584-b8fb-252eb55b53b8', 'date': '09-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-08 19:14:13.332083
2,560457,RED CROSS SADAR DHANBAD 2.0,Dhanbad Sadar,Jharkhand,Dhanbad,Dhanbad Sadar,826001,23,86,09:00:00,18:00:00,Free,"[{'session_id': 'da06f581-a58a-4909-8724-5a14da181088', 'date': '09-05-2021', 'available_capacity': 29, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-08 19:14:13.332083
3,615023,Sadar2.2 P.L.,DHANBAD,Jharkhand,Dhanbad,Dhanbad Sadar,826001,23,86,09:00:00,18:00:00,Free,"[{'session_id': 'adc74c08-245b-4b6b-b360-25e8003d4112', 'date': '09-05-2021', 'available_capacity': 42, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-08 19:14:13.332083
4,612227,Chc Tundi 2.0,Tundi,Jharkhand,Dhanbad,Dhanbad Sadar,826001,23,86,09:00:00,18:00:00,Free,"[{'session_id': '372d5f9f-e30d-4069-b38a-88fba56520f4', 'date': '09-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-08 19:14:13.332083
5,571451,SNMMCH,Saraidhela Dhanbad,Jharkhand,Dhanbad,Dhanbad Sadar,826001,23,86,09:00:00,18:00:00,Free,"[{'session_id': 'e607adf0-170d-4b92-99c9-c38504e406a8', 'date': '09-05-2021', 'available_capacity': 47, 'min_age_limit': 45, 'vaccine': 'COVAXIN', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-08 19:14:13.332083
6,658867,MATKURIA DHANBAD,DHANBAD,Jharkhand,Dhanbad,Dhanbad Sadar,826001,23,86,09:00:00,18:00:00,Free,"[{'session_id': '5d624a9c-c625-4f90-acdb-070bf3295bd6', 'date': '09-05-2021', 'available_capacity': 39, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-08 19:14:13.332083
0,613482,CHC GOVINDPUR2.0,DHANBAD,Jharkhand,Dhanbad,Govindpur,826001,23,86,09:00:00,18:00:00,Free,"[{'session_id': '8aff3772-b23b-4966-895f-81ea6a3ee629', 'date': '09-05-2021', 'available_capacity': 48, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-08 19:16:16.568646
1,613787,BRC Nirsha2.1,Dhanbad,Jharkhand,Dhanbad,Nirsha,826001,23,86,09:00:00,18:00:00,Free,"[{'session_id': '89a521a6-b617-4584-b8fb-252eb55b53b8', 'date': '09-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-08 19:16:16.568646
2,560457,RED CROSS SADAR DHANBAD 2.0,Dhanbad Sadar,Jharkhand,Dhanbad,Dhanbad Sadar,826001,23,86,09:00:00,18:00:00,Free,"[{'session_id': 'da06f581-a58a-4909-8724-5a14da181088', 'date': '09-05-2021', 'available_capacity': 29, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-08 19:16:16.568646
3,615023,Sadar2.2 P.L.,DHANBAD,Jharkhand,Dhanbad,Dhanbad Sadar,826001,23,86,09:00:00,18:00:00,Free,"[{'session_id': 'adc74c08-245b-4b6b-b360-25e8003d4112', 'date': '09-05-2021', 'available_capacity': 42, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-08 19:16:16.568646
4,612227,Chc Tundi 2.0,Tundi,Jharkhand,Dhanbad,Dhanbad Sadar,826001,23,86,09:00:00,18:00:00,Free,"[{'session_id': '372d5f9f-e30d-4069-b38a-88fba56520f4', 'date': '09-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-08 19:16:16.568646
5,571451,SNMMCH,Saraidhela Dhanbad,Jharkhand,Dhanbad,Dhanbad Sadar,826001,23,86,09:00:00,18:00:00,Free,"[{'session_id': 'e607adf0-170d-4b92-99c9-c38504e406a8', 'date': '09-05-2021', 'available_capacity': 47, 'min_age_limit': 45, 'vaccine': 'COVAXIN', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-08 19:16:16.568646
6,658867,MATKURIA DHANBAD,DHANBAD,Jharkhand,Dhanbad,Dhanbad Sadar,826001,23,86,09:00:00,18:00:00,Free,"[{'session_id': '5d624a9c-c625-4f90-acdb-070bf3295bd6', 'date': '09-05-2021', 'available_capacity': 39, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-08 19:16:16.568646
0,613482,CHC GOVINDPUR2.0,DHANBAD,Jharkhand,Dhanbad,Govindpur,826001,23,86,09:00:00,18:00:00,Free,"[{'session_id': '8aff3772-b23b-4966-895f-81ea6a3ee629', 'date': '09-05-2021', 'available_capacity': 48, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-08 19:18:20.608137
1,613787,BRC Nirsha2.1,Dhanbad,Jharkhand,Dhanbad,Nirsha,826001,23,86,09:00:00,18:00:00,Free,"[{'session_id': '89a521a6-b617-4584-b8fb-252eb55b53b8', 'date': '09-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-08 19:18:20.608137
2,560457,RED CROSS SADAR DHANBAD 2.0,Dhanbad Sadar,Jharkhand,Dhanbad,Dhanbad Sadar,826001,23,86,09:00:00,18:00:00,Free,"[{'session_id': 'da06f581-a58a-4909-8724-5a14da181088', 'date': '09-05-2021', 'available_capacity': 29, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-08 19:18:20.608137
3,615023,Sadar2.2 P.L.,DHANBAD,Jharkhand,Dhanbad,Dhanbad Sadar,826001,23,86,09:00:00,18:00:00,Free,"[{'session_id': 'adc74c08-245b-4b6b-b360-25e8003d4112', 'date': '09-05-2021', 'available_capacity': 42, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-08 19:18:20.608137
4,612227,Chc Tundi 2.0,Tundi,Jharkhand,Dhanbad,Dhanbad Sadar,826001,23,86,09:00:00,18:00:00,Free,"[{'session_id': '372d5f9f-e30d-4069-b38a-88fba56520f4', 'date': '09-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-08 19:18:20.608137
5,571451,SNMMCH,Saraidhela Dhanbad,Jharkhand,Dhanbad,Dhanbad Sadar,826001,23,86,09:00:00,18:00:00,Free,"[{'session_id': 'e607adf0-170d-4b92-99c9-c38504e406a8', 'date': '09-05-2021', 'available_capacity': 47, 'min_age_limit': 45, 'vaccine': 'COVAXIN', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-08 19:18:20.608137
6,658867,MATKURIA DHANBAD,DHANBAD,Jharkhand,Dhanbad,Dhanbad Sadar,826001,23,86,09:00:00,18:00:00,Free,"[{'session_id': '5d624a9c-c625-4f90-acdb-070bf3295bd6', 'date': '09-05-2021', 'available_capacity': 39, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-08 19:18:20.608137
0,613482,CHC GOVINDPUR2.0,DHANBAD,Jharkhand,Dhanbad,Govindpur,826001,23,86,09:00:00,18:00:00,Free,"[{'session_id': '8aff3772-b23b-4966-895f-81ea6a3ee629', 'date': '09-05-2021', 'available_capacity': 48, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-08 19:20:22.354212
1,613787,BRC Nirsha2.1,Dhanbad,Jharkhand,Dhanbad,Nirsha,826001,23,86,09:00:00,18:00:00,Free,"[{'session_id': '89a521a6-b617-4584-b8fb-252eb55b53b8', 'date': '09-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-08 19:20:22.354212
2,560457,RED CROSS SADAR DHANBAD 2.0,Dhanbad Sadar,Jharkhand,Dhanbad,Dhanbad Sadar,826001,23,86,09:00:00,18:00:00,Free,"[{'session_id': 'da06f581-a58a-4909-8724-5a14da181088', 'date': '09-05-2021', 'available_capacity': 29, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-08 19:20:22.354212
3,615023,Sadar2.2 P.L.,DHANBAD,Jharkhand,Dhanbad,Dhanbad Sadar,826001,23,86,09:00:00,18:00:00,Free,"[{'session_id': 'adc74c08-245b-4b6b-b360-25e8003d4112', 'date': '09-05-2021', 'available_capacity': 42, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-08 19:20:22.354212
4,612227,Chc Tundi 2.0,Tundi,Jharkhand,Dhanbad,Dhanbad Sadar,826001,23,86,09:00:00,18:00:00,Free,"[{'session_id': '372d5f9f-e30d-4069-b38a-88fba56520f4', 'date': '09-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-08 19:20:22.354212
5,571451,SNMMCH,Saraidhela Dhanbad,Jharkhand,Dhanbad,Dhanbad Sadar,826001,23,86,09:00:00,18:00:00,Free,"[{'session_id': 'e607adf0-170d-4b92-99c9-c38504e406a8', 'date': '09-05-2021', 'available_capacity': 47, 'min_age_limit': 45, 'vaccine': 'COVAXIN', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-08 19:20:22.354212
6,658867,MATKURIA DHANBAD,DHANBAD,Jharkhand,Dhanbad,Dhanbad Sadar,826001,23,86,09:00:00,18:00:00,Free,"[{'session_id': '5d624a9c-c625-4f90-acdb-070bf3295bd6', 'date': '09-05-2021', 'available_capacity': 39, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-08 19:20:22.354212
0,613482,CHC GOVINDPUR2.0,DHANBAD,Jharkhand,Dhanbad,Govindpur,826001,23,86,09:00:00,18:00:00,Free,"[{'session_id': '8aff3772-b23b-4966-895f-81ea6a3ee629', 'date': '09-05-2021', 'available_capacity': 48, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-08 19:22:25.687744
1,613787,BRC Nirsha2.1,Dhanbad,Jharkhand,Dhanbad,Nirsha,826001,23,86,09:00:00,18:00:00,Free,"[{'session_id': '89a521a6-b617-4584-b8fb-252eb55b53b8', 'date': '09-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-08 19:22:25.687744
2,560457,RED CROSS SADAR DHANBAD 2.0,Dhanbad Sadar,Jharkhand,Dhanbad,Dhanbad Sadar,826001,23,86,09:00:00,18:00:00,Free,"[{'session_id': 'da06f581-a58a-4909-8724-5a14da181088', 'date': '09-05-2021', 'available_capacity': 29, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-08 19:22:25.687744
3,615023,Sadar2.2 P.L.,DHANBAD,Jharkhand,Dhanbad,Dhanbad Sadar,826001,23,86,09:00:00,18:00:00,Free,"[{'session_id': 'adc74c08-245b-4b6b-b360-25e8003d4112', 'date': '09-05-2021', 'available_capacity': 42, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-08 19:22:25.687744
4,612227,Chc Tundi 2.0,Tundi,Jharkhand,Dhanbad,Dhanbad Sadar,826001,23,86,09:00:00,18:00:00,Free,"[{'session_id': '372d5f9f-e30d-4069-b38a-88fba56520f4', 'date': '09-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-08 19:22:25.687744
5,571451,SNMMCH,Saraidhela Dhanbad,Jharkhand,Dhanbad,Dhanbad Sadar,826001,23,86,09:00:00,18:00:00,Free,"[{'session_id': 'e607adf0-170d-4b92-99c9-c38504e406a8', 'date': '09-05-2021', 'available_capacity': 47, 'min_age_limit': 45, 'vaccine': 'COVAXIN', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-08 19:22:25.687744
6,658867,MATKURIA DHANBAD,DHANBAD,Jharkhand,Dhanbad,Dhanbad Sadar,826001,23,86,09:00:00,18:00:00,Free,"[{'session_id': '5d624a9c-c625-4f90-acdb-070bf3295bd6', 'date': '09-05-2021', 'available_capacity': 39, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-08 19:22:25.687744
0,613482,CHC GOVINDPUR2.0,DHANBAD,Jharkhand,Dhanbad,Govindpur,826001,23,86,09:00:00,18:00:00,Free,"[{'session_id': '8aff3772-b23b-4966-895f-81ea6a3ee629', 'date': '09-05-2021', 'available_capacity': 48, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-08 19:24:29.713210
1,613787,BRC Nirsha2.1,Dhanbad,Jharkhand,Dhanbad,Nirsha,826001,23,86,09:00:00,18:00:00,Free,"[{'session_id': '89a521a6-b617-4584-b8fb-252eb55b53b8', 'date': '09-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-08 19:24:29.713210
2,560457,RED CROSS SADAR DHANBAD 2.0,Dhanbad Sadar,Jharkhand,Dhanbad,Dhanbad Sadar,826001,23,86,09:00:00,18:00:00,Free,"[{'session_id': 'da06f581-a58a-4909-8724-5a14da181088', 'date': '09-05-2021', 'available_capacity': 29, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-08 19:24:29.713210
3,615023,Sadar2.2 P.L.,DHANBAD,Jharkhand,Dhanbad,Dhanbad Sadar,826001,23,86,09:00:00,18:00:00,Free,"[{'session_id': 'adc74c08-245b-4b6b-b360-25e8003d4112', 'date': '09-05-2021', 'available_capacity': 42, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-08 19:24:29.713210
4,612227,Chc Tundi 2.0,Tundi,Jharkhand,Dhanbad,Dhanbad Sadar,826001,23,86,09:00:00,18:00:00,Free,"[{'session_id': '372d5f9f-e30d-4069-b38a-88fba56520f4', 'date': '09-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-08 19:24:29.713210
5,571451,SNMMCH,Saraidhela Dhanbad,Jharkhand,Dhanbad,Dhanbad Sadar,826001,23,86,09:00:00,18:00:00,Free,"[{'session_id': 'e607adf0-170d-4b92-99c9-c38504e406a8', 'date': '09-05-2021', 'available_capacity': 47, 'min_age_limit': 45, 'vaccine': 'COVAXIN', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-08 19:24:29.713210
6,658867,MATKURIA DHANBAD,DHANBAD,Jharkhand,Dhanbad,Dhanbad Sadar,826001,23,86,09:00:00,18:00:00,Free,"[{'session_id': '5d624a9c-c625-4f90-acdb-070bf3295bd6', 'date': '09-05-2021', 'available_capacity': 39, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-08 19:24:29.713210
0,613482,CHC GOVINDPUR2.0,DHANBAD,Jharkhand,Dhanbad,Govindpur,826001,23,86,09:00:00,18:00:00,Free,"[{'session_id': '8aff3772-b23b-4966-895f-81ea6a3ee629', 'date': '09-05-2021', 'available_capacity': 48, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-08 19:26:31.418320
1,613787,BRC Nirsha2.1,Dhanbad,Jharkhand,Dhanbad,Nirsha,826001,23,86,09:00:00,18:00:00,Free,"[{'session_id': '89a521a6-b617-4584-b8fb-252eb55b53b8', 'date': '09-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-08 19:26:31.418320
2,560457,RED CROSS SADAR DHANBAD 2.0,Dhanbad Sadar,Jharkhand,Dhanbad,Dhanbad Sadar,826001,23,86,09:00:00,18:00:00,Free,"[{'session_id': 'da06f581-a58a-4909-8724-5a14da181088', 'date': '09-05-2021', 'available_capacity': 29, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-08 19:26:31.418320
3,615023,Sadar2.2 P.L.,DHANBAD,Jharkhand,Dhanbad,Dhanbad Sadar,826001,23,86,09:00:00,18:00:00,Free,"[{'session_id': 'adc74c08-245b-4b6b-b360-25e8003d4112', 'date': '09-05-2021', 'available_capacity': 42, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-08 19:26:31.418320
4,612227,Chc Tundi 2.0,Tundi,Jharkhand,Dhanbad,Dhanbad Sadar,826001,23,86,09:00:00,18:00:00,Free,"[{'session_id': '372d5f9f-e30d-4069-b38a-88fba56520f4', 'date': '09-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-08 19:26:31.418320
5,571451,SNMMCH,Saraidhela Dhanbad,Jharkhand,Dhanbad,Dhanbad Sadar,826001,23,86,09:00:00,18:00:00,Free,"[{'session_id': 'e607adf0-170d-4b92-99c9-c38504e406a8', 'date': '09-05-2021', 'available_capacity': 47, 'min_age_limit': 45, 'vaccine': 'COVAXIN', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-08 19:26:31.418320
6,658867,MATKURIA DHANBAD,DHANBAD,Jharkhand,Dhanbad,Dhanbad Sadar,826001,23,86,09:00:00,18:00:00,Free,"[{'session_id': '5d624a9c-c625-4f90-acdb-070bf3295bd6', 'date': '09-05-2021', 'available_capacity': 39, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-08 19:26:31.418320
0,613482,CHC GOVINDPUR2.0,DHANBAD,Jharkhand,Dhanbad,Govindpur,826001,23,86,09:00:00,18:00:00,Free,"[{'session_id': '8aff3772-b23b-4966-895f-81ea6a3ee629', 'date': '09-05-2021', 'available_capacity': 48, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-08 19:28:34.842001
1,613787,BRC Nirsha2.1,Dhanbad,Jharkhand,Dhanbad,Nirsha,826001,23,86,09:00:00,18:00:00,Free,"[{'session_id': '89a521a6-b617-4584-b8fb-252eb55b53b8', 'date': '09-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-08 19:28:34.842001
2,560457,RED CROSS SADAR DHANBAD 2.0,Dhanbad Sadar,Jharkhand,Dhanbad,Dhanbad Sadar,826001,23,86,09:00:00,18:00:00,Free,"[{'session_id': 'da06f581-a58a-4909-8724-5a14da181088', 'date': '09-05-2021', 'available_capacity': 29, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-08 19:28:34.842001
3,615023,Sadar2.2 P.L.,DHANBAD,Jharkhand,Dhanbad,Dhanbad Sadar,826001,23,86,09:00:00,18:00:00,Free,"[{'session_id': 'adc74c08-245b-4b6b-b360-25e8003d4112', 'date': '09-05-2021', 'available_capacity': 42, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-08 19:28:34.842001
4,612227,Chc Tundi 2.0,Tundi,Jharkhand,Dhanbad,Dhanbad Sadar,826001,23,86,09:00:00,18:00:00,Free,"[{'session_id': '372d5f9f-e30d-4069-b38a-88fba56520f4', 'date': '09-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-08 19:28:34.842001
